date,ticker,embed_pca16_00,embed_pca16_01,embed_pca16_02,embed_pca16_03,embed_pca16_04,embed_pca16_05,embed_pca16_06,embed_pca16_07,embed_pca16_08,embed_pca16_09,embed_pca16_10,embed_pca16_11,embed_pca16_12,embed_pca16_13,embed_pca16_14,embed_pca16_15
2025-09-28,MSFT,-0.033403184,0.009160991,-0.16942203,-0.0686414,-0.100729644,0.041107938,0.08562525,0.28110817,-0.12153655,0.11698208,-0.09120144,-0.07096796,-0.12656534,-0.01936871,0.0031339263,-0.08530359
2025-09-29,MSFT,0.4650002,0.10543577,-0.2133582,-0.2567951,-0.11881885,-0.033454698,-0.09633395,0.2067168,-0.1781073,-0.08985609,0.009477812,0.07395222,0.21332182,0.051702317,-0.15281536,-0.061223075
2025-09-29,MSFT,0.2958105,0.29449326,-0.020780006,-0.038281344,-0.06324723,-0.042942904,-0.11752303,0.1468522,-0.006536497,-0.018484885,-0.17359455,0.026086278,0.054859668,-0.12717219,0.08120236,0.04003688
2025-09-29,MSFT,0.0591408,0.19854555,-0.14706272,-0.2117603,-0.049290225,0.0715408,-0.031146785,0.043489847,-0.13754915,0.26204765,-0.03673153,-0.0018289316,0.05044883,-0.0008017072,0.07156173,0.014252968
2025-09-30,MSFT,0.32365543,0.05562668,-0.17117666,-0.15644032,-0.21274945,0.08230011,0.06686678,0.32855305,-0.17806362,-0.08796827,-0.05023688,0.007469635,-0.14405258,0.0688847,-0.037786767,0.07019352
2025-09-30,MSFT,0.4140295,0.17375746,-0.14840423,-0.24140608,-0.16693749,-0.042462304,-0.11367388,0.06304191,-0.11390689,-0.04008833,0.042163335,0.15234295,-0.047087956,0.06442922,-0.08700618,0.15435404
2025-09-30,MSFT,-0.15662245,0.12970057,-0.046048056,-0.24042046,-0.054479647,0.105036624,0.084545895,0.27073124,-0.101993114,0.24424163,-0.16254938,0.0884585,-0.067202516,0.05653497,-0.18118896,-0.0025539973
2025-10-01,MSFT,0.10421245,0.092636704,-0.16278069,-0.16569522,-0.13371193,-0.009274296,-0.031191332,0.21058388,-0.15218383,0.0634087,-0.15100528,-0.017535252,0.16126217,-0.027101822,-0.09716814,-0.05827917
2025-10-01,MSFT,0.39084285,0.25007215,-0.19783135,-0.30514666,-0.21197006,-0.059959706,-0.07076998,-0.052733745,-0.1861853,0.117216125,0.08044013,0.10021136,0.049277425,0.032415327,0.050197873,-0.011788574
2025-10-01,MSFT,0.38594475,0.15158519,-0.14216077,-0.097900264,-0.07715013,0.05230111,0.004506645,0.37702882,-0.12955225,-0.10507662,-0.051943436,-0.025840871,-0.09685546,0.06295763,-0.085462786,0.0012704667
